tot_purch_amt,sale_month,cty_twnshp_nme,crv_nbr,df.sale_year,dates,quarter
106000,6,Minneapolis,673173,2017,2017-10-19,Q4-2017
27000,6,St. Paul,673207,2017,2017-07-31,Q3-2017
165000,6,Minneapolis,673245,2017,2017-09-20,Q3-2017
210000,6,St. Paul,673263,2017,2017-08-01,Q3-2017
360000,6,Minneapolis,673276,2017,2017-09-20,Q3-2017
280000,6,Minneapolis,673277,2017,2017-11-02,Q4-2017
273000,6,Minneapolis,673278,2017,2017-09-12,Q3-2017
280000,6,Minneapolis,673284,2017,2017-09-20,Q3-2017
305500,6,Minneapolis,673292,2017,2017-09-14,Q3-2017
392020,6,Minneapolis,673330,2017,2017-10-18,Q4-2017
730000,6,St. Paul,673337,2017,2017-10-09,Q4-2017
390000,6,Minneapolis,673387,2017,2017-11-06,Q4-2017
219900,6,Minneapolis,673398,2017,2017-10-13,Q4-2017
565000,6,St. Paul,673400,2017,2017-09-18,Q3-2017
175000,6,Minneapolis,673411,2017,2017-09-20,Q3-2017
119750,6,St. Paul,673419,2017,2017-06-29,Q2-2017
283500,6,St. Paul,673433,2017,2017-09-20,Q3-2017
270000,6,Minneapolis,673464,2017,2017-09-12,Q3-2017
174900,6,Minneapolis,673474,2017,2017-09-20,Q3-2017
337900,6,St. Paul,673491,2017,2017-07-07,Q3-2017
350500,6,St. Paul,673499,2017,2017-09-11,Q3-2017
175000,6,St. Paul,673516,2017,2017-08-16,Q3-2017
265000,6,Minneapolis,673518,2017,2017-10-18,Q4-2017
271000,6,Minneapolis,673534,2017,2017-10-18,Q4-2017
147000,6,Minneapolis,673541,2017,2017-10-13,Q4-2017
205000,6,St. Paul,673582,2017,2017-08-01,Q3-2017
325000,6,Minneapolis,673588,2017,2017-09-12,Q3-2017
230000,6,St. Paul,673613,2017,2017-08-11,Q3-2017
165000,6,St. Paul,673646,2017,2017-10-26,Q4-2017
860000,6,Minneapolis,673660,2017,2017-09-14,Q3-2017
689900,6,Minneapolis,673672,2017,2017-10-18,Q4-2017
299900,6,Minneapolis,673689,2017,2017-09-20,Q3-2017
182360,6,Minneapolis,673744,2017,2017-09-20,Q3-2017
120000,6,St. Paul,673773,2017,2017-10-18,Q4-2017
225000,6,St. Paul,673783,2017,2017-09-11,Q3-2017
425000,6,Minneapolis,673796,2017,2017-11-20,Q4-2017
333000,6,Minneapolis,673816,2017,2017-10-18,Q4-2017
215000,6,St. Paul,673829,2017,2017-07-25,Q3-2017
449200,6,Minneapolis,673836,2017,2017-10-13,Q4-2017
690000,6,Minneapolis,673855,2017,2017-10-18,Q4-2017
234000,6,Minneapolis,673875,2017,2017-10-13,Q4-2017
223000,6,Minneapolis,673899,2017,2017-10-13,Q4-2017
263000,6,Minneapolis,673905,2017,2017-09-20,Q3-2017
224000,6,Minneapolis,673921,2017,2017-09-20,Q3-2017
